                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6247,                 5.4072,                 4.8787,                      0,                      0,                      0,                      0,                 5.6512,                 4.3315,                 4.1586,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                  5.489,                 5.3079,                 5.0427,                      0,                      0,                      0,                      0,                 5.6509,                  4.329,                 4.1579,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      3,                 5.1322,                 4.9427,                 4.9235,                      0,                      0,                      0,                      0,                 5.6505,                 4.3305,                 4.1581,             0.00010979,             0.00010979,             0.00010979
                      4,                 5.0087,                 4.4565,                  4.639,                      0,                      0,                      0,                      0,                  5.651,                 4.3315,                 4.1573,             0.00014785,             0.00014785,             0.00014785
                      5,                  4.511,                 3.5263,                 4.6661,                      0,                      0,                      0,                      0,                 5.6512,                 4.3414,                 4.1588,             0.00018422,             0.00018422,             0.00018422
                      6,                 4.2753,                 3.0447,                 4.2623,                      0,                      0,                      0,                      0,                  5.654,                 4.3443,                 4.1597,             0.00021888,             0.00021888,             0.00021888
                      7,                  3.775,                  2.629,                 4.2179,                      0,                      0,                      0,                      0,                 5.6575,                 4.3494,                 4.1627,             0.00025185,             0.00025185,             0.00025185
                      8,                 3.2955,                 2.2138,                 4.0538,                      0,                      0,                      0,                      0,                 5.6587,                 4.3509,                 4.1652,             0.00028312,             0.00028312,             0.00028312
                      9,                 3.3051,                 2.3276,                 3.9336,                      0,                      0,                      0,                      0,                 5.6731,                  4.358,                 4.1711,             0.00031269,             0.00031269,             0.00031269
                     10,                 2.8496,                 1.9809,                 3.8929,                      0,                      0,                      0,                      0,                  5.675,                 4.3604,                 4.1752,             0.00034056,             0.00034056,             0.00034056
