                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3996,                 5.2205,                 4.8055,                      0,                      0,                      0,                      0,                 5.6512,                 4.3529,                 4.1586,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 5.3107,                 5.1879,                  4.967,                      0,                      0,                      0,                      0,                 5.6505,                 4.3498,                 4.1582,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      3,                  5.222,                 5.0467,                 4.9503,                      0,                      0,                      0,                      0,                 5.6505,                 4.3496,                  4.158,             0.00010979,             0.00010979,             0.00010979
                      4,                  4.969,                 4.4723,                 4.5961,                      0,                      0,                      0,                      0,                  5.651,                 4.3531,                 4.1573,             0.00014785,             0.00014785,             0.00014785
                      5,                 4.6003,                 3.5916,                 4.5682,                      0,                      0,                      0,                      0,                 5.6511,                   4.36,                 4.1591,             0.00018422,             0.00018422,             0.00018422
                      6,                 3.9173,                 3.4291,                 4.4165,                      0,                      0,                      0,                      0,                 5.6534,                 4.3615,                 4.1596,             0.00021888,             0.00021888,             0.00021888
                      7,                 3.9118,                 2.8174,                 4.3631,                      0,                      0,                      0,                      0,                 5.6581,                  4.372,                 4.1635,             0.00025185,             0.00025185,             0.00025185
                      8,                 3.2598,                 2.3748,                 4.3677,                      0,                      0,                      0,                      0,                 5.6611,                 4.3739,                 4.1657,             0.00028312,             0.00028312,             0.00028312
                      9,                 3.6586,                 2.3808,                 4.0247,                      0,                      0,                      0,                      0,                 5.6693,                 4.3791,                 4.1714,             0.00031269,             0.00031269,             0.00031269
                     10,                 2.8241,                 2.0472,                 3.9577,                      0,                      0,                      0,                      0,                 5.6752,                 4.3841,                 4.1751,             0.00034056,             0.00034056,             0.00034056
                     11,                 3.1175,                 2.2535,                 3.8811,                      0,                      0,                      0,                      0,                 5.6833,                 4.3878,                 4.1848,             0.00036674,             0.00036674,             0.00036674
                     12,                 2.3613,                 2.0504,                  3.763,                      0,                      0,                      0,                      0,                  5.689,                 4.3944,                 4.1898,             0.00039122,             0.00039122,             0.00039122
                     13,                 2.1863,                 1.8751,                 3.6473,                      0,                      0,                      0,                      0,                 5.7003,                 4.4044,                 4.2016,               0.000414,               0.000414,               0.000414
                     14,                  2.396,                 1.6037,                 3.2128,                      0,                      0,                      0,                      0,                 5.7076,                   4.41,                 4.2084,             0.00043508,             0.00043508,             0.00043508
                     15,                 2.0761,                 1.7977,                 3.4602,                      0,                      0,                      0,                      0,                 5.7158,                 4.4257,                 4.2258,             0.00045447,             0.00045447,             0.00045447
                     16,                 1.8855,                 1.6015,                 3.2639,                      0,                      0,                      0,                      0,                 5.7267,                 4.3856,                 4.2338,             0.00047216,             0.00047216,             0.00047216
                     17,                 1.8801,                 1.6202,                 3.0144,                      0,                      0,                      0,                      0,                 5.7421,                 4.4556,                 4.2531,             0.00048815,             0.00048815,             0.00048815
                     18,                 2.0418,                 1.5736,                 2.9634,                      0,                      0,                      0,                      0,                 5.7475,                 4.4667,                 4.2667,             0.00050244,             0.00050244,             0.00050244
                     19,                  2.213,                 1.5181,                 2.8025,                      0,                      0,                      0,                      0,                 5.7552,                  4.476,                 4.2827,             0.00051503,             0.00051503,             0.00051503
                     20,                 1.9589,                 1.5493,                 2.8171,                      0,                      0,                      0,                      0,                 5.7618,                 4.4868,                 4.2953,             0.00052593,             0.00052593,             0.00052593
                     21,                  1.788,                 1.3231,                 2.6063,                      0,                      0,                      0,                      0,                 5.7678,                  4.434,                 4.3018,             0.00053513,             0.00053513,             0.00053513
                     22,                 1.8856,                 1.3989,                 2.7446,                      0,                      0,                      0,                      0,                 5.7683,                 4.3805,                 4.3091,             0.00054263,             0.00054263,             0.00054263
                     23,                 1.5755,                 1.2951,                 2.5298,                      0,                      0,                      0,                      0,                 5.7654,                  4.302,                  4.315,             0.00054844,             0.00054844,             0.00054844
                     24,                 2.5368,                 1.4364,                 2.3021,                      0,                      0,                      0,                      0,                 5.7571,                 4.2934,                 4.3116,             0.00055255,             0.00055255,             0.00055255
                     25,                 1.7821,                 1.4954,                 2.3641,                      0,                      0,                      0,                      0,                 5.7474,                  4.286,                 4.3068,             0.00055496,             0.00055496,             0.00055496
                     26,                 1.6706,                 1.3299,                 2.4239,                      0,                      0,                      0,                      0,                 5.7326,                 4.2785,                 4.2986,             0.00055567,             0.00055567,             0.00055567
                     27,                  1.616,                 1.3918,                 2.3045,                      0,                      0,                      0,                      0,                 5.6966,                 4.3039,                 4.2722,             0.00055468,             0.00055468,             0.00055468
                     28,                 1.7602,                 1.2379,                 2.1696,                      0,                      0,                      0,                      0,                 5.6185,                 4.3063,                 4.2129,               0.000552,               0.000552,               0.000552
                     29,                 1.6468,                  1.206,                 2.2238,                      0,                      0,                      0,                      0,                 5.6185,                 4.3063,                 4.2129,             0.00054762,             0.00054762,             0.00054762
                     30,                 1.6928,                 1.2004,                 2.1847,                      0,                      0,                      0,                      0,                 5.3321,                 4.1728,                 4.0513,             0.00054154,             0.00054154,             0.00054154
                     31,                 1.7498,                 1.4211,                 2.2129,                0.00814,                0.33333,                0.33167,                0.13334,                 4.3251,                 3.6352,                 3.7205,             0.00053376,             0.00053376,             0.00053376
