                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4245,                 5.2374,                  4.847,                      0,                      0,                      0,                      0,                 5.6512,                 4.3531,                 4.1586,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 5.1839,                  5.241,                 4.9665,                      0,                      0,                      0,                      0,                 5.6506,                 4.3524,                 4.1584,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      3,                 5.1949,                 4.8915,                 4.8765,                      0,                      0,                      0,                      0,                 5.6504,                 4.3517,                 4.1581,             0.00010979,             0.00010979,             0.00010979
                      4,                 5.1144,                 4.4906,                 4.5561,                      0,                      0,                      0,                      0,                 5.6512,                 4.3556,                 4.1575,             0.00014785,             0.00014785,             0.00014785
                      5,                  4.782,                 3.5702,                 4.5833,                      0,                      0,                      0,                      0,                 5.6513,                 4.3603,                 4.1585,             0.00018422,             0.00018422,             0.00018422
                      6,                  3.804,                 2.9828,                 4.4768,                      0,                      0,                      0,                      0,                  5.654,                  4.363,                 4.1599,             0.00021888,             0.00021888,             0.00021888
                      7,                 3.9912,                 2.9025,                 4.2799,                      0,                      0,                      0,                      0,                 5.6579,                 4.3709,                  4.163,             0.00025185,             0.00025185,             0.00025185
                      8,                 3.2709,                 2.6583,                 4.2704,                      0,                      0,                      0,                      0,                 5.6609,                 4.3729,                 4.1657,             0.00028312,             0.00028312,             0.00028312
                      9,                 3.4488,                  2.399,                 4.0651,                      0,                      0,                      0,                      0,                 5.6654,                 4.3793,                  4.171,             0.00031269,             0.00031269,             0.00031269
                     10,                 2.5936,                  2.043,                 4.1671,                      0,                      0,                      0,                      0,                 5.6718,                 4.3792,                 4.1764,             0.00034056,             0.00034056,             0.00034056
                     11,                 2.7504,                 2.1974,                  3.909,                      0,                      0,                      0,                      0,                 5.6836,                 4.3873,                 4.1873,             0.00036674,             0.00036674,             0.00036674
