                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9544,                 2.7005,                 2.7957,                0.97974,                0.96337,                0.99315,                  0.637,                 1.5182,                 1.9198,                 1.7696,               0.070095,              0.0033228,              0.0033228
                      1,                 1.4109,                 1.0513,                 1.4141,                0.99561,                0.97482,                0.99359,                0.73436,                0.99842,                0.63711,                 1.3105,               0.039963,              0.0065243,              0.0065243
                      2,                 1.1224,                0.81568,                 1.2103,                0.99707,                0.97765,                 0.9935,                0.73116,                0.99325,                 0.8262,                 1.2559,              0.0096997,              0.0095938,              0.0095938
                      3,                0.92321,                  0.655,                 1.0888,                0.99842,                  0.989,                0.99456,                0.84647,                0.68908,                0.43022,                 1.0224,               0.009406,               0.009406,               0.009406
                      4,                0.75851,                0.51472,                0.99994,                0.99944,                0.98959,                  0.995,                0.86722,                0.59258,                 0.3577,                 0.9672,               0.009406,               0.009406,               0.009406
                      5,                0.63731,                0.42345,                0.94604,                0.99941,                0.99109,                0.99499,                0.93535,                0.45291,                0.28803,                0.90762,               0.009208,               0.009208,               0.009208
                      6,                0.58251,                0.38068,                0.92181,                0.99721,                0.99326,                  0.995,                0.95294,                0.34385,                 0.2513,                0.87082,                0.00901,                0.00901,                0.00901
                      7,                0.52653,                0.34512,                0.90129,                0.99862,                 0.9928,                  0.995,                0.95491,                0.38014,                0.25644,                0.87652,               0.008812,               0.008812,               0.008812
                      8,                0.49185,                0.32353,                0.88654,                0.99827,                 0.9936,                  0.995,                0.97019,                0.26689,                0.21565,                0.84695,               0.008614,               0.008614,               0.008614
                      9,                 0.4643,                0.30726,                0.87816,                 0.9996,                0.99235,                  0.995,                0.97611,                0.28739,                0.21447,                0.85259,               0.008416,               0.008416,               0.008416
                     10,                0.43825,                0.29197,                0.86853,                0.99802,                0.99414,                  0.995,                0.98173,                0.22622,                0.18083,                0.83755,               0.008218,               0.008218,               0.008218
                     11,                0.41451,                0.28004,                0.86186,                0.99828,                0.99372,                  0.995,                0.98543,                0.21432,                0.17915,                0.83009,                0.00802,                0.00802,                0.00802
