                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5379,                   5.37,                 4.8632,                      0,                      0,                      0,                      0,                 5.7028,                 4.3453,                 4.1587,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 5.5209,                 5.3767,                 4.8263,                      0,                      0,                      0,                      0,                 5.7027,                 4.3411,                 4.1581,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      3,                 5.1908,                  4.924,                 4.9107,                      0,                      0,                      0,                      0,                 5.7023,                 4.3404,                 4.1582,             0.00010979,             0.00010979,             0.00010979
                      4,                 5.1363,                  4.399,                 4.4989,                      0,                      0,                      0,                      0,                 5.7027,                 4.3496,                 4.1578,             0.00014785,             0.00014785,             0.00014785
                      5,                 4.7475,                 3.6252,                  4.556,                      0,                      0,                      0,                      0,                 5.7028,                   4.35,                 4.1589,             0.00018422,             0.00018422,             0.00018422
                      6,                 4.1424,                 3.2886,                   4.53,                      0,                      0,                      0,                      0,                 5.7058,                 4.3566,                 4.1588,             0.00021888,             0.00021888,             0.00021888
                      7,                 3.9199,                 2.9112,                 4.3163,                      0,                      0,                      0,                      0,                 5.7073,                 4.3642,                 4.1636,             0.00025185,             0.00025185,             0.00025185
                      8,                 3.6771,                 2.6103,                 4.1599,                      0,                      0,                      0,                      0,                 5.7102,                 4.3669,                 4.1651,             0.00028312,             0.00028312,             0.00028312
                      9,                 3.6415,                 2.5179,                 4.0136,                      0,                      0,                      0,                      0,                 5.7209,                 4.3744,                 4.1704,             0.00031269,             0.00031269,             0.00031269
                     10,                 2.9416,                 2.2995,                 3.9683,                      0,                      0,                      0,                      0,                 5.7253,                 4.3755,                 4.1734,             0.00034056,             0.00034056,             0.00034056
                     11,                 3.2602,                 2.6265,                 3.8765,                      0,                      0,                      0,                      0,                 5.7353,                 4.3823,                 4.1827,             0.00036674,             0.00036674,             0.00036674
                     12,                 2.9063,                 2.1524,                 3.6833,                      0,                      0,                      0,                      0,                 5.7365,                 4.3862,                 4.1882,             0.00039122,             0.00039122,             0.00039122
                     13,                 2.5929,                 1.9351,                 3.6885,                      0,                      0,                      0,                      0,                 5.7484,                  4.397,                 4.2001,               0.000414,               0.000414,               0.000414
                     14,                 2.6637,                 1.7293,                 3.2513,                      0,                      0,                      0,                      0,                 5.7556,                 4.4032,                 4.2061,             0.00043508,             0.00043508,             0.00043508
                     15,                 2.2693,                 1.9022,                 3.5055,                      0,                      0,                      0,                      0,                 5.7602,                 4.4118,                 4.2204,             0.00045447,             0.00045447,             0.00045447
                     16,                 2.1559,                  1.794,                 3.2775,                      0,                      0,                      0,                      0,                 5.7695,                  4.423,                 4.2296,             0.00047216,             0.00047216,             0.00047216
                     17,                 2.0444,                 1.7109,                 3.1989,                      0,                      0,                      0,                      0,                 5.7784,                 4.4464,                 4.2501,             0.00048815,             0.00048815,             0.00048815
                     18,                 2.1673,                 1.5879,                 3.0417,                      0,                      0,                      0,                      0,                 5.7801,                 4.4537,                 4.2571,             0.00050244,             0.00050244,             0.00050244
                     19,                 2.2839,                 1.5824,                 2.8165,                      0,                      0,                      0,                      0,                 5.7886,                 4.4633,                 4.2667,             0.00051503,             0.00051503,             0.00051503
                     20,                 2.0749,                 1.5942,                 2.9001,                      0,                      0,                      0,                      0,                 5.7928,                 4.4755,                  4.276,             0.00052593,             0.00052593,             0.00052593
                     21,                 2.2007,                 1.5426,                 2.6524,                      0,                      0,                      0,                      0,                 5.7995,                 4.4858,                  4.288,             0.00053513,             0.00053513,             0.00053513
                     22,                  1.954,                 1.5322,                 2.7267,                      0,                      0,                      0,                      0,                 5.8009,                  4.491,                 4.2942,             0.00054263,             0.00054263,             0.00054263
                     23,                 1.8473,                 1.3407,                 2.6533,                      0,                      0,                      0,                      0,                 5.7958,                 4.4873,                 4.2963,             0.00054844,             0.00054844,             0.00054844
                     24,                 2.1216,                 1.2882,                 2.2752,                      0,                      0,                      0,                      0,                 5.7889,                  4.481,                 4.2913,             0.00055255,             0.00055255,             0.00055255
                     25,                 1.9808,                 1.4504,                 2.5389,                      0,                      0,                      0,                      0,                 5.7706,                 4.4684,                 4.2792,             0.00055496,             0.00055496,             0.00055496
                     26,                 1.9247,                 1.3967,                 2.6119,                      0,                      0,                      0,                      0,                  5.745,                 4.4495,                 4.2581,             0.00055567,             0.00055567,             0.00055567
                     27,                 1.8726,                 1.3223,                 2.3466,                      0,                      0,                      0,                      0,                  5.708,                 4.4157,                 4.2242,             0.00055468,             0.00055468,             0.00055468
                     28,                 1.8786,                 1.2842,                 2.2298,                      0,                      0,                      0,                      0,                 5.6311,                 4.3511,                 4.1544,               0.000552,               0.000552,               0.000552
                     29,                 1.7193,                 1.2264,                  2.233,                      0,                      0,                      0,                      0,                 5.6311,                 4.3511,                 4.1544,             0.00054762,             0.00054762,             0.00054762
                     30,                  1.764,                 1.1924,                 2.1213,                      0,                      0,                      0,                      0,                 5.2965,                 4.1274,                 3.9546,             0.00054154,             0.00054154,             0.00054154
                     31,                 1.8416,                 1.4123,                  2.387,                0.01071,                0.33852,                0.31883,                 0.0945,                 4.2207,                  3.556,                 3.6148,             0.00053376,             0.00053376,             0.00053376
                     32,                 1.7013,                   1.24,                  2.203,                 0.0169,                0.63481,                0.60879,                0.26319,                 2.9314,                 2.7473,                 3.2523,             0.00052429,             0.00052429,             0.00052429
                     33,                 1.7483,                 1.2838,                 2.1672,                 0.0169,                0.63481,                0.60879,                0.26319,                 2.9314,                 2.7473,                 3.2523,             0.00051311,             0.00051311,             0.00051311
                     34,                 1.8114,                 1.1697,                 1.9989,                0.94508,                0.53601,                0.93563,                0.39438,                 2.1498,                 2.0707,                 3.0065,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.7342,                 1.1544,                 2.1762,                0.92971,                0.95867,                0.96683,                0.56928,                 1.7632,                 1.6035,                 2.8799,               0.000467,               0.000467,               0.000467
                     36,                 1.9215,                 1.2138,                 2.0549,                0.94814,                0.97195,                0.97831,                  0.495,                 1.7441,                 1.3873,                 2.7773,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.6765,                  1.123,                 2.0056,                0.94814,                0.97195,                0.97831,                  0.495,                 1.7441,                 1.3873,                 2.7773,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.5107,                 1.0982,                 1.8665,                0.93654,                0.94392,                0.95824,                0.53034,                  1.702,                 1.3039,                  2.652,             0.00038211,             0.00038211,             0.00038211
                     39,                  1.652,                 1.1057,                 2.0021,                0.95647,                0.93575,                0.95875,                0.55194,                 1.6342,                 1.2169,                 2.5376,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.7273,                 1.0836,                 1.8836,                0.94764,                0.93111,                0.96002,                0.58839,                 1.5635,                 1.1084,                 2.4205,             0.00032553,             0.00032553,             0.00032553
