                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4886,                 5.2793,                 4.7725,                      0,                      0,                      0,                      0,                 5.7305,                 4.3685,                 4.1587,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 5.2386,                 5.2825,                 4.9407,                      0,                      0,                      0,                      0,                 5.7299,                 4.3651,                 4.1585,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      3,                 5.1937,                   4.83,                 4.8555,                      0,                      0,                      0,                      0,                 5.7297,                 4.3668,                 4.1577,             0.00010979,             0.00010979,             0.00010979
                      4,                 5.2123,                 4.6733,                 4.6067,                      0,                      0,                      0,                      0,                 5.7299,                 4.3696,                 4.1581,             0.00014785,             0.00014785,             0.00014785
                      5,                 4.7308,                 3.6488,                 4.6771,                      0,                      0,                      0,                      0,                 5.7306,                 4.3737,                 4.1593,             0.00018422,             0.00018422,             0.00018422
                      6,                 3.8685,                 3.0032,                 4.5213,                      0,                      0,                      0,                      0,                 5.7327,                 4.3789,                 4.1599,             0.00021888,             0.00021888,             0.00021888
                      7,                 3.9959,                 2.8587,                 4.2955,                      0,                      0,                      0,                      0,                 5.7349,                 4.3859,                 4.1644,             0.00025185,             0.00025185,             0.00025185
                      8,                 3.4665,                 2.7819,                 4.2665,                      0,                      0,                      0,                      0,                 5.7371,                 4.3869,                 4.1672,             0.00028312,             0.00028312,             0.00028312
                      9,                 3.5942,                 2.4712,                  3.956,                      0,                      0,                      0,                      0,                 5.7436,                  4.394,                 4.1733,             0.00031269,             0.00031269,             0.00031269
                     10,                 2.7355,                 2.1679,                 4.1043,                      0,                      0,                      0,                      0,                 5.7483,                 4.3987,                 4.1777,             0.00034056,             0.00034056,             0.00034056
                     11,                 2.9576,                  2.492,                 3.9945,                      0,                      0,                      0,                      0,                 5.7544,                 4.4052,                 4.1864,             0.00036674,             0.00036674,             0.00036674
                     12,                 2.5991,                  2.071,                 3.7788,                      0,                      0,                      0,                      0,                 5.7569,                 4.4083,                 4.1912,             0.00039122,             0.00039122,             0.00039122
                     13,                 2.5181,                 1.7575,                 3.6871,                      0,                      0,                      0,                      0,                 5.7629,                 4.4203,                 4.2039,               0.000414,               0.000414,               0.000414
                     14,                 2.4608,                 1.7559,                 3.3192,                      0,                      0,                      0,                      0,                 5.7669,                  4.425,                 4.2122,             0.00043508,             0.00043508,             0.00043508
                     15,                 2.3623,                 1.9898,                 3.5562,                      0,                      0,                      0,                      0,                 5.7763,                 4.4331,                   4.23,             0.00045447,             0.00045447,             0.00045447
                     16,                 2.2428,                 1.8115,                 3.2913,                      0,                      0,                      0,                      0,                 5.7865,                 4.3248,                 4.2402,             0.00047216,             0.00047216,             0.00047216
                     17,                 2.0563,                 1.6785,                 3.2618,                      0,                      0,                      0,                      0,                 5.7923,                 4.4718,                 4.2614,             0.00048815,             0.00048815,             0.00048815
                     18,                 2.2028,                 1.8489,                 2.9916,                      0,                      0,                      0,                      0,                 5.8002,                 4.4848,                 4.2739,             0.00050244,             0.00050244,             0.00050244
                     19,                 2.4696,                 1.8169,                 2.8252,                      0,                      0,                      0,                      0,                 5.8065,                 4.4958,                 4.2803,             0.00051503,             0.00051503,             0.00051503
                     20,                 2.1839,                 1.7944,                 2.8713,                      0,                      0,                      0,                      0,                 5.8107,                 4.4211,                 4.2906,             0.00052593,             0.00052593,             0.00052593
                     21,                 2.1775,                 1.6168,                 2.6355,                      0,                      0,                      0,                      0,                  5.814,                 4.3549,                 4.2983,             0.00053513,             0.00053513,             0.00053513
                     22,                 2.1321,                 1.5745,                 2.8483,                      0,                      0,                      0,                      0,                 5.8181,                 4.3848,                 4.3089,             0.00054263,             0.00054263,             0.00054263
                     23,                 1.9536,                 1.4377,                 2.7037,                      0,                      0,                      0,                      0,                 5.8189,                 4.3902,                 4.3171,             0.00054844,             0.00054844,             0.00054844
                     24,                 2.3803,                 1.3886,                 2.3769,                      0,                      0,                      0,                      0,                 5.8125,                 4.3869,                 4.3166,             0.00055255,             0.00055255,             0.00055255
                     25,                  1.996,                 1.3094,                 2.5282,                      0,                      0,                      0,                      0,                 5.8087,                 4.4537,                 4.3133,             0.00055496,             0.00055496,             0.00055496
                     26,                  1.746,                 1.3425,                 2.5098,                      0,                      0,                      0,                      0,                 5.8051,                 4.5248,                 4.3129,             0.00055567,             0.00055567,             0.00055567
                     27,                 1.9511,                 1.2907,                 2.2775,                      0,                      0,                      0,                      0,                 5.7943,                 4.5143,                 4.3067,             0.00055468,             0.00055468,             0.00055468
                     28,                 1.9341,                 1.2987,                 2.1515,                      0,                      0,                      0,                      0,                 5.7647,                 4.4789,                 4.2753,               0.000552,               0.000552,               0.000552
                     29,                 1.7726,                 1.2363,                 2.2211,                      0,                      0,                      0,                      0,                 5.7647,                 4.4789,                 4.2753,             0.00054762,             0.00054762,             0.00054762
                     30,                 1.8143,                 1.2234,                 2.0799,                      0,                      0,                      0,                      0,                 5.6603,                 4.3555,                 4.1785,             0.00054154,             0.00054154,             0.00054154
                     31,                 1.9735,                 1.4257,                 2.2554,                      0,                      0,                      0,                      0,                 5.3208,                 4.0484,                 3.9507,             0.00053376,             0.00053376,             0.00053376
                     32,                 1.9013,                 1.3458,                 2.2004,                0.00797,                0.31217,                0.25546,                0.04596,                 4.3527,                 3.3851,                 3.5495,             0.00052429,             0.00052429,             0.00052429
                     33,                 1.8004,                 1.2822,                 2.0309,                0.00797,                0.31217,                0.25546,                0.04596,                 4.3527,                 3.3851,                 3.5495,             0.00051311,             0.00051311,             0.00051311
                     34,                 1.9131,                 1.2073,                 1.9242,                0.01629,                0.79524,                 0.7059,                0.25343,                 2.8195,                 2.4792,                 3.1537,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.6988,                 1.1332,                  2.102,                0.90107,                0.57937,                0.92942,                0.52011,                 2.0481,                  1.844,                  2.956,               0.000467,               0.000467,               0.000467
                     36,                 2.0265,                 1.2558,                 2.0512,                0.90553,                0.93122,                0.94803,                0.40053,                 2.0368,                 1.5862,                 2.8101,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.7268,                 1.1069,                 1.9481,                0.90553,                0.93122,                0.94803,                0.40053,                 2.0368,                 1.5862,                 2.8101,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.6421,                 1.0934,                 1.9573,                0.90588,                 0.9317,                0.95888,                0.40108,                  2.033,                 1.4677,                 2.6456,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.7541,                 1.1009,                 1.9185,                0.92048,                0.94011,                0.96563,                0.42233,                 1.9981,                  1.354,                  2.515,             0.00035382,             0.00035382,             0.00035382
                     40,                  1.747,                 1.0988,                 1.8808,                 0.9636,                0.93074,                0.96601,                0.48723,                 1.8677,                 1.2239,                 2.3894,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.5137,                 1.1222,                 1.9498,                 0.9636,                0.93074,                0.96601,                0.48723,                 1.8677,                 1.2239,                 2.3894,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.6275,                 1.1868,                 2.0981,                0.96831,                0.92604,                0.95681,                0.59436,                 1.7248,                 1.1336,                 2.2822,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.5944,                 1.1672,                 1.9176,                0.96401,                 0.9214,                0.95972,                0.54941,                 1.6946,                 1.1041,                 2.2009,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.5542,                 1.2105,                 2.0987,                0.94579,                 0.9127,                0.95868,                0.58055,                 1.6765,                 1.0833,                 2.1248,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.5867,                 1.1049,                 2.0463,                0.94579,                 0.9127,                0.95868,                0.58055,                 1.6765,                 1.0833,                 2.1248,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.5287,                 1.1523,                 2.0739,                 0.9419,                 0.9127,                0.95433,                0.59315,                 1.6167,                 1.0471,                 2.0573,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.4487,                 1.0946,                 1.8764,                0.95967,                 0.9127,                0.95602,                0.60518,                 1.5162,                 1.0064,                 1.9947,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.4875,                 1.0915,                 1.9743,                0.96188,                 0.9127,                0.95652,                0.61484,                 1.4668,                0.97886,                 1.9523,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                  1.475,                 1.1023,                 1.9352,                0.96188,                 0.9127,                0.95652,                0.61484,                 1.4668,                0.97886,                 1.9523,             7.0878e-05,             7.0878e-05,             7.0878e-05
