                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8485,                 5.4192,                  4.827,                      0,                      0,                      0,                      0,                  5.676,                 4.3546,                 4.1586,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 5.5333,                 5.1867,                 4.7607,                      0,                      0,                      0,                      0,                 5.6759,                 4.3513,                 4.1583,             4.2021e-05,             4.2021e-05,             4.2021e-05
                      3,                 5.2349,                 5.4715,                 5.0019,                      0,                      0,                      0,                      0,                 5.6759,                 4.3513,                  4.158,             6.8621e-05,             6.8621e-05,             6.8621e-05
                      4,                 5.4135,                 5.0103,                 4.7937,                      0,                      0,                      0,                      0,                 5.6753,                   4.35,                 4.1581,             9.4088e-05,             9.4088e-05,             9.4088e-05
                      5,                 5.2189,                 4.7311,                  4.698,                      0,                      0,                      0,                      0,                 5.6754,                 4.3535,                 4.1578,             0.00011842,             0.00011842,             0.00011842
                      6,                  5.222,                 4.2673,                  4.518,                      0,                      0,                      0,                      0,                 5.6758,                 4.3545,                 4.1571,             0.00014163,             0.00014163,             0.00014163
                      7,                 5.0706,                 4.1114,                 4.5962,                      0,                      0,                      0,                      0,                 5.6759,                 4.3617,                 4.1582,              0.0001637,              0.0001637,              0.0001637
                      8,                 4.4281,                 3.4522,                 4.5351,                      0,                      0,                      0,                      0,                 5.6785,                  4.364,                 4.1592,             0.00018464,             0.00018464,             0.00018464
                      9,                 4.4826,                 3.4561,                 4.4297,                      0,                      0,                      0,                      0,                 5.6793,                 4.3661,                 4.1599,             0.00020445,             0.00020445,             0.00020445
                     10,                 4.3506,                 3.1463,                 4.3603,                      0,                      0,                      0,                      0,                 5.6802,                 4.3714,                 4.1615,             0.00022313,             0.00022313,             0.00022313
                     11,                  3.936,                 2.8978,                 4.2964,                      0,                      0,                      0,                      0,                 5.6832,                 4.3745,                 4.1631,             0.00024067,             0.00024067,             0.00024067
                     12,                  3.467,                 2.6085,                  4.318,                      0,                      0,                      0,                      0,                 5.6844,                 4.3745,                 4.1657,             0.00025709,             0.00025709,             0.00025709
                     13,                 3.2871,                 2.8446,                 4.2055,                      0,                      0,                      0,                      0,                 5.6897,                 4.3773,                 4.1683,             0.00027237,             0.00027237,             0.00027237
                     14,                 3.5902,                 2.6653,                  3.959,                      0,                      0,                      0,                      0,                  5.692,                 4.3785,                 4.1713,             0.00028652,             0.00028652,             0.00028652
                     15,                 2.9487,                  2.212,                 4.1892,                      0,                      0,                      0,                      0,                 5.6996,                  4.383,                 4.1746,             0.00029954,             0.00029954,             0.00029954
                     16,                 2.9679,                 2.1598,                 4.0428,                      0,                      0,                      0,                      0,                 5.7028,                 4.3889,                 4.1796,             0.00031142,             0.00031142,             0.00031142
                     17,                 3.2929,                 2.0907,                 3.8692,                      0,                      0,                      0,                      0,                 5.7092,                 4.3926,                  4.184,             0.00032218,             0.00032218,             0.00032218
                     18,                 2.4178,                 1.9173,                 3.9907,                      0,                      0,                      0,                      0,                 5.7113,                 4.3933,                 4.1901,              0.0003318,              0.0003318,              0.0003318
                     19,                 2.7412,                  1.925,                 3.7393,                      0,                      0,                      0,                      0,                 5.7163,                 4.4003,                 4.1958,             0.00034029,             0.00034029,             0.00034029
                     20,                 2.3292,                 1.9541,                 3.7113,                      0,                      0,                      0,                      0,                 5.7219,                 4.4014,                 4.2019,             0.00034765,             0.00034765,             0.00034765
                     21,                 2.6361,                 1.8343,                 3.4102,                      0,                      0,                      0,                      0,                 5.7283,                 4.4072,                 4.2095,             0.00035388,             0.00035388,             0.00035388
                     22,                 2.3363,                 1.8445,                 3.3791,                      0,                      0,                      0,                      0,                  5.736,                 4.4099,                 4.2171,             0.00035897,             0.00035897,             0.00035897
                     23,                 2.4217,                  1.742,                   3.24,                      0,                      0,                      0,                      0,                  5.742,                  4.413,                 4.2251,             0.00036294,             0.00036294,             0.00036294
                     24,                 2.4091,                 1.6934,                 3.1585,                      0,                      0,                      0,                      0,                 5.7463,                 4.4182,                 4.2344,             0.00036577,             0.00036577,             0.00036577
