                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4851,                 5.2638,                 4.9399,                      0,                      0,                      0,                      0,                 5.6509,                 4.3358,                 4.1582,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 5.0515,                 4.8639,                 4.8953,                      0,                      0,                      0,                      0,                 5.6505,                 4.3391,                 4.1577,             0.00012606,             0.00012606,             0.00012606
                      3,                 4.7459,                  3.903,                 4.5149,                      0,                      0,                      0,                      0,                 5.6515,                 4.3457,                 4.1589,             0.00019214,             0.00019214,             0.00019214
                      4,                 4.0322,                 2.9211,                 4.2538,                      0,                      0,                      0,                      0,                 5.6573,                  4.354,                 4.1605,             0.00025538,             0.00025538,             0.00025538
                      5,                 3.1591,                 2.2625,                 4.1245,                      0,                      0,                      0,                      0,                 5.6664,                 4.3693,                 4.1674,              0.0003158,              0.0003158,              0.0003158
                      6,                  3.003,                 2.0493,                 3.8537,                      0,                      0,                      0,                      0,                 5.6773,                 4.3745,                  4.174,             0.00037338,             0.00037338,             0.00037338
                      7,                 2.5796,                 1.8449,                 3.6945,                      0,                      0,                      0,                      0,                 5.6933,                 4.3839,                 4.1919,             0.00042814,             0.00042814,             0.00042814
                      8,                 2.2652,                 1.6951,                 3.4685,                      0,                      0,                      0,                      0,                 5.7085,                 4.3942,                 4.2091,             0.00048007,             0.00048007,             0.00048007
                      9,                 2.2247,                 1.5525,                 3.1158,                      0,                      0,                      0,                      0,                 5.7273,                 4.4075,                 4.2386,             0.00052916,             0.00052916,             0.00052916
                     10,                  2.105,                 1.5133,                 2.9649,                      0,                      0,                      0,                      0,                 5.7315,                 4.4152,                 4.2531,             0.00057543,             0.00057543,             0.00057543
                     11,                  2.161,                 1.5649,                 2.6736,                      0,                      0,                      0,                      0,                 5.7388,                 4.3689,                 4.2732,             0.00061887,             0.00061887,             0.00061887
                     12,                  1.968,                 1.5264,                 2.6295,                      0,                      0,                      0,                      0,                 5.7663,                  4.462,                 4.3073,             0.00065948,             0.00065948,             0.00065948
                     13,                 1.9037,                 1.3551,                 2.4127,                      0,                      0,                      0,                      0,                 5.7721,                 4.4734,                  4.324,             0.00069726,             0.00069726,             0.00069726
                     14,                 1.7665,                 1.2433,                 2.3296,                      0,                      0,                      0,                      0,                 5.7834,                 4.4971,                 4.3411,             0.00073221,             0.00073221,             0.00073221
                     15,                 1.9625,                  1.339,                 2.3157,                      0,                      0,                      0,                      0,                 5.7763,                 4.4981,                 4.3406,             0.00076433,             0.00076433,             0.00076433
