                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0373,                 4.7387,                 4.4513,                      0,                      0,                      0,                      0,                 5.2725,                 4.3409,                 4.1562,             0.00017148,             0.00017148,             0.00017148
                      2,                 4.5276,                 3.8877,                 4.2019,                      0,                      0,                      0,                      0,                 5.2778,                 4.3493,                 4.1602,             0.00035018,             0.00035018,             0.00035018
                      3,                 3.3789,                 2.9694,                 3.9175,                      0,                      0,                      0,                      0,                 5.3093,                 4.3628,                 4.1826,             0.00052152,             0.00052152,             0.00052152
                      4,                 2.7308,                 2.4287,                 3.3662,                      0,                      0,                      0,                      0,                 5.3051,                  4.391,                 4.2027,              0.0006855,              0.0006855,              0.0006855
                      5,                 2.4514,                 2.1836,                 2.9068,                      0,                      0,                      0,                      0,                 5.2732,                 4.4395,                 4.2108,             0.00084213,             0.00084213,             0.00084213
                      6,                 2.1288,                 1.8811,                 2.6272,                      0,                      0,                      0,                      0,                 4.6023,                 4.2667,                 3.9794,              0.0009914,              0.0009914,              0.0009914
                      7,                 2.1673,                  1.781,                 2.4357,                0.92634,                0.30241,                0.58311,                0.31892,                 2.2978,                 2.7193,                 3.2237,              0.0011333,              0.0011333,              0.0011333
                      8,                 1.9595,                 1.5973,                 2.1931,                0.75236,                0.65351,                0.75666,                0.43911,                 1.6713,                 1.5385,                 2.4853,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.8282,                 1.4359,                 2.1016,                  0.964,                0.78354,                0.85775,                0.49279,                 1.5223,                 1.1341,                 2.2062,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.8734,                 1.3981,                 2.0324,                0.97211,                0.89746,                0.97081,                0.56483,                 1.3771,                 1.0238,                 2.0152,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.7793,                 1.2659,                  1.923,                0.93338,                0.84629,                0.96528,                  0.618,                  1.423,                  1.003,                 1.8024,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.7081,                 1.2925,                 1.8572,                0.99408,                0.92592,                0.96939,                0.60968,                  1.332,                 1.0008,                 1.7217,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.6502,                 1.1254,                 1.7447,                0.99229,                0.94798,                0.98427,                0.62983,                 1.3108,                0.89954,                 1.7006,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.6911,                 1.0922,                 1.7849,                0.94155,                0.94718,                0.97823,                0.59071,                 1.2917,                0.92695,                 1.7415,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.6364,                 1.0517,                 1.7293,                0.96721,                0.94489,                0.97987,                0.57443,                 1.4669,                0.86019,                 1.8303,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.6081,                 1.0278,                 1.6839,                0.95868,                0.95045,                0.98219,                0.63081,                 1.2309,                0.97317,                 1.6137,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.5199,                0.99375,                   1.62,                0.98948,                0.95316,                0.98491,                0.64495,                 1.2176,                0.79144,                 1.5176,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.5183,                0.98532,                 1.6121,                 0.9367,                0.92761,                0.97668,                0.62764,                 1.3126,                  0.943,                 1.6025,               0.000948,               0.000948,               0.000948
                     19,                 1.5486,                0.93919,                 1.6221,                0.98894,                0.96151,                0.98372,                0.61915,                 1.2643,                0.83244,                 1.5495,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.5132,                0.90671,                 1.5686,                0.99661,                0.95995,                0.98453,                0.62284,                 1.2774,                0.81065,                 1.5645,             0.00089141,             0.00089141,             0.00089141
