                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2658,                 1.7214,                  2.381,                0.99289,                0.97165,                0.99193,                0.76803,                0.82993,                0.54973,                 1.1962,             0.00047493,             0.00047493,             0.00047493
                      2,                0.99503,                0.60597,                 1.1587,                0.99429,                0.98406,                0.99211,                0.85069,                0.58217,                0.40252,                0.98121,             0.00093243,             0.00093243,             0.00093243
                      3,                0.80613,                0.48551,                 1.0415,                0.99244,                0.98505,                0.99354,                0.83864,                0.75137,                 0.3927,                 1.0351,              0.0013711,              0.0013711,              0.0013711
                      4,                0.70398,                0.41447,                0.97935,                0.99509,                0.98801,                0.99388,                 0.8781,                0.53709,                0.32929,                0.92568,              0.0013441,              0.0013441,              0.0013441
                      5,                0.64441,                0.37663,                 0.9538,                0.99719,                0.98829,                0.99469,                0.87407,                0.63204,                0.32403,                0.95995,              0.0013158,              0.0013158,              0.0013158
                      6,                0.60916,                0.35622,                0.93705,                0.99713,                0.98755,                0.99471,                0.88293,                0.60285,                0.29835,                0.93636,              0.0012875,              0.0012875,              0.0012875
                      7,                0.57036,                0.33131,                0.91932,                0.99759,                0.98961,                0.99489,                 0.9169,                0.41887,                0.24379,                0.87617,              0.0012592,              0.0012592,              0.0012592
                      8,                0.55084,                0.32322,                0.90893,                0.99769,                0.99091,                0.99495,                0.92139,                0.49372,                0.26544,                0.90492,              0.0012309,              0.0012309,              0.0012309
                      9,                0.52324,                 0.3085,                0.89825,                0.99783,                0.99328,                0.99498,                0.92137,                 0.4405,                0.23149,                0.87387,              0.0012026,              0.0012026,              0.0012026
                     10,                0.52362,                 0.3045,                0.89685,                0.99767,                0.99384,                0.99498,                0.94303,                0.40533,                0.23484,                0.86541,              0.0011744,              0.0011744,              0.0011744
                     11,                0.49057,                0.28888,                0.88506,                0.99887,                0.99495,                  0.995,                0.93259,                0.39729,                0.23192,                0.86232,              0.0011461,              0.0011461,              0.0011461
                     12,                0.49049,                0.28816,                0.88486,                0.99734,                0.99677,                0.99499,                0.93812,                   0.37,                0.21219,                0.85573,              0.0011178,              0.0011178,              0.0011178
                     13,                0.47527,                0.28043,                 0.8784,                0.99827,                0.99606,                  0.995,                0.93553,                0.40172,                0.21978,                0.86829,              0.0010895,              0.0010895,              0.0010895
                     14,                0.46754,                0.27605,                0.87495,                0.99897,                0.99707,                  0.995,                 0.9316,                0.43885,                0.23129,                0.87205,              0.0010612,              0.0010612,              0.0010612
                     15,                0.46618,                0.27195,                0.87458,                0.99931,                 0.9964,                  0.995,                0.93374,                0.41274,                0.21445,                0.86683,              0.0010329,              0.0010329,              0.0010329
                     16,                0.45189,                0.26543,                0.86745,                0.99944,                 0.9961,                  0.995,                0.95501,                0.34409,                  0.194,                 0.8437,              0.0010046,              0.0010046,              0.0010046
                     17,                0.44826,                0.26202,                0.86801,                0.99878,                0.99764,                  0.995,                0.95096,                0.33416,                0.20077,                0.84045,             0.00097629,             0.00097629,             0.00097629
                     18,                0.43477,                0.25749,                0.86207,                0.99968,                0.99648,                  0.995,                0.94643,                 0.3668,                0.19898,                0.84816,               0.000948,               0.000948,               0.000948
