                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7529,                 4.2464,                 4.4403,                      0,                      0,                      0,                      0,                 5.7467,                 4.7108,                 4.1715,             0.00030009,             0.00030009,             0.00030009
                      2,                 3.2806,                 2.5139,                 3.5123,                      0,                      0,                      0,                      0,                 5.7956,                 4.6893,                 4.2171,             0.00060839,             0.00060839,             0.00060839
                      3,                 2.4863,                 1.8355,                 2.7965,                      0,                      0,                      0,                      0,                 5.7839,                 4.5951,                 4.2164,             0.00091046,             0.00091046,             0.00091046
                      4,                 2.2989,                 1.6823,                 2.3856,                0.00326,                0.09238,                0.06647,                0.02339,                 5.3736,                 4.3389,                 4.0538,              0.0012063,              0.0012063,              0.0012063
                      5,                 2.1523,                 1.5563,                 2.2271,                0.72959,                0.29313,                0.61453,                0.22614,                 3.0152,                 2.6781,                 2.8662,              0.0013724,              0.0013724,              0.0013724
                      6,                 2.0836,                 1.4514,                 2.0039,                0.92089,                0.79792,                0.85646,                0.37443,                 1.9308,                 1.4375,                 2.2008,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.9656,                 1.3337,                 1.9285,                0.89738,                0.89888,                0.96989,                 0.5537,                 1.5533,                 1.3886,                 1.8171,              0.0013441,              0.0013441,              0.0013441
                      8,                 2.0049,                 1.3454,                 1.9051,                0.85418,                 0.8108,                0.86772,                0.36177,                 2.0392,                 1.6251,                 2.0373,                0.00133,                0.00133,                0.00133
                      9,                 1.9044,                 1.2365,                 1.7561,                0.93626,                0.93969,                0.97894,                0.41618,                 1.8184,                 1.3014,                  1.961,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.8632,                 1.2622,                 1.7741,                0.93914,                0.90298,                0.97226,                0.49333,                 1.6245,                 1.3888,                 1.7411,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.8285,                  1.226,                 1.7037,                 0.9095,                0.95104,                 0.9859,                0.49687,                 1.7133,                 1.2922,                 1.7378,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.8274,                 1.1825,                 1.7067,                0.97217,                0.96541,                 0.9841,                0.56101,                  1.476,                 1.1766,                 1.6335,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.7289,                 1.1122,                 1.5956,                0.98187,                0.96948,                0.98858,                0.53859,                 1.4055,                 1.1961,                 1.5985,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.7263,                  1.105,                 1.5949,                0.98979,                0.96309,                0.98018,                0.48836,                 1.8259,                 1.1559,                 1.7864,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.6537,                 1.0724,                 1.5585,                0.98933,                0.97021,                0.98511,                0.63961,                  1.394,                 1.0556,                 1.5398,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.6163,                 1.0892,                 1.5526,                0.98591,                0.97389,                0.98784,                0.56237,                 1.4253,                 1.1843,                 1.4931,              0.0012168,              0.0012168,              0.0012168
                     17,                  1.617,                 1.0552,                 1.5194,                0.98973,                0.97753,                0.98962,                 0.6664,                 1.2391,                0.98012,                 1.4361,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.5603,                 1.0397,                 1.4851,                0.96679,                0.95755,                0.98715,                0.70265,                 1.1418,                 0.9744,                 1.3277,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.5559,                 1.0243,                 1.4689,                  0.976,                0.97067,                0.98879,                0.58013,                 1.3422,                  1.081,                 1.4565,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.5405,                 1.0288,                 1.4595,                0.96257,                0.96831,                0.98888,                0.58343,                 1.3204,                 1.0746,                 1.4278,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.5555,                 1.0512,                 1.4847,                0.92518,                0.96579,                0.98691,                0.67787,                  1.175,                0.98949,                 1.3459,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.5189,                 1.0321,                 1.4374,                0.95201,                0.97601,                0.98828,                0.63932,                 1.1696,                0.99321,                 1.3257,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.4993,                 1.0304,                  1.425,                0.89486,                0.94632,                0.97965,                0.54948,                 1.2412,                 1.1413,                 1.4341,              0.0011178,              0.0011178,              0.0011178
