                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9092,                 4.4224,                 4.3088,                      0,                      0,                      0,                      0,                 5.7405,                 4.7056,                 4.1726,             0.00030009,             0.00030009,             0.00030009
                      2,                 3.5819,                 2.8669,                 3.2555,                      0,                      0,                      0,                      0,                 5.7755,                 4.7203,                 4.2167,             0.00060839,             0.00060839,             0.00060839
                      3,                 2.6415,                 2.1012,                 2.5658,                      0,                      0,                      0,                      0,                  5.754,                 4.6503,                 4.1878,             0.00091046,             0.00091046,             0.00091046
                      4,                 2.3985,                 1.8881,                  2.254,                0.00697,                0.18477,                0.05196,                0.01311,                 4.4614,                 4.1983,                 3.5252,              0.0012063,              0.0012063,              0.0012063
                      5,                  2.192,                 1.6891,                 2.1429,                0.87163,                0.17741,                0.17631,                0.04284,                  3.161,                  2.892,                 2.8738,              0.0013724,              0.0013724,              0.0013724
                      6,                 2.1176,                 1.5165,                 1.9587,                0.70863,                0.59363,                0.54507,                0.29909,                 3.0639,                 2.5321,                 2.6503,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.9798,                 1.4165,                 1.8799,                0.77777,                0.68833,                0.63824,                0.33677,                 2.7115,                 2.0539,                 2.4164,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.9781,                 1.3618,                 1.8436,                0.85317,                0.90431,                0.92207,                0.50251,                 1.8825,                 1.3458,                 1.9667,                0.00133,                0.00133,                0.00133
                      9,                 1.9477,                 1.2728,                  1.752,                0.83411,                0.68666,                0.75854,                0.39705,                 1.8355,                 3.3756,                  1.927,              0.0013158,              0.0013158,              0.0013158
                     10,                  1.898,                 1.2871,                 1.7471,                0.95378,                0.77567,                0.81998,                0.39159,                 1.8913,                 3.4249,                 1.8847,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.8791,                 1.2606,                 1.6989,                0.62951,                0.97194,                0.98322,                0.49633,                 1.6078,                 1.5339,                  1.712,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.8485,                 1.2529,                  1.699,                0.91996,                0.95345,                0.96462,                0.58037,                 1.5582,                  1.536,                 1.6802,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.7825,                 1.1711,                 1.6051,                0.98927,                0.94061,                0.97033,                0.57182,                  1.459,                 1.2598,                  1.532,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.8527,                 1.1863,                 1.6403,                0.96229,                 0.9588,                0.97608,                0.49076,                 1.5746,                 1.3398,                 1.6495,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.7459,                 1.1374,                 1.5863,                0.98024,                0.95256,                0.97773,                0.59047,                 1.4131,                 1.0849,                 1.5194,              0.0012309,              0.0012309,              0.0012309
                     16,                  1.718,                 1.1573,                 1.5826,                0.89364,                0.80448,                0.83255,                0.49504,                 2.0304,                 2.3437,                 1.8887,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.7053,                 1.1433,                 1.5672,                0.93623,                0.96251,                0.97683,                0.64202,                 1.2857,                 1.1014,                 1.4556,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.6287,                 1.1204,                 1.5309,                0.93686,                0.93807,                0.97938,                0.64473,                 1.2763,                 1.0832,                 1.4192,              0.0011885,              0.0011885,              0.0011885
                     19,                  1.635,                 1.0922,                 1.5056,                0.92833,                0.91186,                0.97153,                0.57011,                 1.3617,                 1.1905,                 1.5411,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.6107,                  1.093,                 1.4976,                 0.9619,                0.96633,                0.98393,                0.65987,                 1.1667,                 1.0549,                 1.3645,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.5871,                 1.0977,                 1.4986,                0.95805,                 0.9638,                 0.9807,                0.57813,                  1.324,                 1.1685,                 1.4303,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.5739,                 1.0558,                  1.468,                 0.9716,                0.97626,                0.98808,                  0.598,                 1.3435,                 1.1155,                 1.4216,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.5381,                 1.0513,                 1.4405,                0.97415,                 0.9638,                0.98698,                0.60989,                 1.1948,                 1.1222,                 1.3721,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.4761,                 1.0606,                 1.4245,                0.96466,                 0.9588,                0.98519,                0.63324,                 1.2346,                 1.0363,                 1.3836,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.4826,                 1.0346,                 1.4112,                 0.9703,                0.97571,                0.98867,                0.71584,                 1.0832,                0.95426,                 1.2958,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.4309,                 1.0532,                 1.4053,                0.84824,                0.75281,                0.78411,                0.37122,                 2.6856,                 3.0241,                 2.3372,              0.0010753,              0.0010753,              0.0010753
