                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.1848,                 5.0568,                 4.6007,                      0,                      0,                      0,                      0,                 5.6654,                 4.2718,                 4.1305,                  0.091,                  0.001,                  0.001
                      1,                 4.7476,                 4.5521,                 4.4027,                      0,                      0,                      0,                      0,                 5.5898,                 4.2174,                 4.0611,               0.081079,              0.0020792,              0.0020792
                      2,                 4.1887,                 3.6562,                 3.8374,                      0,                      0,                      0,                      0,                 5.5332,                  4.188,                 4.0156,               0.071137,              0.0031366,              0.0031366
                      3,                 3.5318,                 2.7709,                  3.294,                      0,                      0,                      0,                      0,                 5.5086,                 4.1897,                 3.9958,               0.061172,              0.0041723,              0.0041723
                      4,                 2.7332,                  2.185,                 2.6542,                      0,                      0,                      0,                      0,                 5.5011,                 4.2062,                   3.99,               0.051186,              0.0051862,              0.0051862
                      5,                 2.4288,                 1.9187,                  2.416,                      0,                      0,                      0,                      0,                 5.4976,                 4.2238,                  3.987,               0.041178,              0.0061782,              0.0061782
                      6,                 2.2521,                 1.7707,                 2.1601,                      0,                      0,                      0,                      0,                  5.429,                 4.1786,                  3.931,               0.031149,              0.0071486,              0.0071486
                      7,                 2.0529,                 1.5874,                 2.0544,                      1,                0.30936,                0.32459,                0.14725,                 3.6569,                  3.048,                 3.1458,               0.021097,              0.0080971,              0.0080971
                      8,                 2.0486,                 1.4385,                 1.9412,                0.84131,                 0.3613,                0.64319,                 0.3005,                 3.2467,                 2.5267,                 2.8393,               0.011024,              0.0090238,              0.0090238
                      9,                 2.0913,                 1.7693,                  2.021,                0.93771,                0.63686,                0.98005,                0.50818,                 1.7427,                  1.773,                 2.1845,               0.009109,               0.009109,               0.009109
                     10,                 1.8507,                  1.499,                 1.7949,                0.64932,                0.88343,                0.94537,                0.41214,                 1.8655,                  1.941,                 2.1308,               0.009109,               0.009109,               0.009109
                     11,                 1.9086,                 1.3581,                 1.7938,                0.93016,                0.89424,                0.93158,                0.37266,                 1.8515,                 1.4527,                 1.9663,                0.00901,                0.00901,                0.00901
