                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.0853,                  5.057,                 4.8453,                      0,                      0,                      0,                      0,                 5.6666,                 4.2723,                 4.1319,                  0.091,                  0.001,                  0.001
                      1,                 4.5301,                 4.1429,                 4.5133,                      0,                      0,                      0,                      0,                 5.5944,                 4.2268,                 4.0646,               0.080996,               0.001996,               0.001996
                      2,                 3.9046,                  3.161,                 4.0096,                      0,                      0,                      0,                      0,                 5.5442,                 4.2197,                 4.0175,               0.070883,              0.0028832,              0.0028832
                      3,                 3.1333,                 2.5227,                 3.4749,                      0,                      0,                      0,                      0,                 5.5231,                  4.231,                 3.9925,               0.060661,              0.0036614,              0.0036614
                      4,                 2.6238,                 2.0135,                 2.8307,                      0,                      0,                      0,                      0,                 5.5087,                 4.2438,                 3.9796,               0.050331,              0.0043308,              0.0043308
                      5,                 2.3632,                 1.7596,                 2.5488,                      0,                      0,                      0,                      0,                 5.5052,                  4.251,                 3.9724,               0.039891,              0.0048912,              0.0048912
                      6,                 2.2401,                 1.7204,                  2.283,                      0,                      0,                      0,                      0,                 5.4932,                 4.2523,                 3.9611,               0.029343,              0.0053428,              0.0053428
                      7,                 2.0904,                 1.5763,                 2.1892,                      0,                      0,                      0,                      0,                 5.3557,                 4.0959,                 3.8691,               0.018685,              0.0056854,              0.0056854
                      8,                 1.9909,                 1.4384,                 1.9791,                0.01869,                0.56389,                0.52261,                0.13754,                 3.6661,                  3.183,                 3.4017,              0.0079192,              0.0059192,              0.0059192
                      9,                 2.0369,                 1.5013,                 2.0381,                0.85558,                0.60733,                0.88862,                0.28839,                 1.8701,                  1.852,                 2.5287,               0.005545,               0.005545,               0.005545
                     10,                  1.839,                 1.3394,                  1.851,                0.82374,                  0.914,                0.97445,                0.41075,                 1.8263,                 1.2491,                 2.0542,               0.005545,               0.005545,               0.005545
                     11,                 1.8126,                 1.2709,                 1.7969,                0.91648,                  0.927,                 0.9778,                0.49849,                 1.5664,                 1.0545,                 1.8603,                0.00505,                0.00505,                0.00505
                     12,                 1.6665,                 1.1706,                 1.6412,                0.85245,                0.92954,                0.97876,                0.55428,                 1.4522,                 1.1073,                 1.7247,               0.004555,               0.004555,               0.004555
                     13,                 1.5091,                 1.1073,                 1.5817,                0.92086,                0.93241,                0.97855,                0.61926,                 1.3431,                 1.0648,                 1.5927,                0.00406,                0.00406,                0.00406
                     14,                 1.4179,                 1.0156,                 1.5155,                 0.9659,                0.94513,                0.97777,                0.61122,                 1.4057,                0.97948,                 1.5547,               0.003565,               0.003565,               0.003565
                     15,                 1.3353,                0.98617,                 1.4644,                0.98496,                 0.9485,                0.98146,                0.72717,                0.99956,                0.85029,                 1.3346,                0.00307,                0.00307,                0.00307
                     16,                 1.2554,                0.96823,                 1.4283,                0.98966,                0.94452,                0.98091,                0.74444,                0.99137,                0.84139,                 1.3195,               0.002575,               0.002575,               0.002575
                     17,                 1.1693,                0.91658,                 1.3492,                0.97588,                0.93631,                0.97952,                0.75056,                0.92224,                0.96308,                 1.2907,                0.00208,                0.00208,                0.00208
                     18,                 1.1303,                0.90991,                 1.3308,                 0.9726,                0.95118,                0.98029,                0.78219,                0.83901,                0.93512,                 1.2284,               0.001585,               0.001585,               0.001585
                     19,                 1.0409,                 0.8577,                  1.295,                0.99667,                0.95663,                 0.9842,                0.82714,                0.70524,                0.86113,                 1.1645,                0.00109,                0.00109,                0.00109
