                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9886,                 2.3244,                 3.4414,                0.97641,                0.34537,                 0.5569,                0.18306,                 3.4467,                  2.838,                 3.4535,             0.00047171,             0.00047171,             0.00047171
                      2,                 1.1261,                0.87673,                 1.4827,                0.99602,                0.97608,                0.99413,                0.85002,                0.50886,                0.51451,                 1.0142,             0.00094491,             0.00094491,             0.00094491
                      3,                0.66623,                0.57037,                 1.0399,                0.99094,                0.98289,                0.99449,                0.88805,                0.45347,                0.45891,                0.94701,               0.001415,               0.001415,               0.001415
                      4,                0.56632,                0.50022,                0.96967,                 0.9898,                0.98602,                0.99477,                0.94843,                0.36926,                0.38543,                0.88392,              0.0014149,              0.0014149,              0.0014149
                      5,                0.44331,                0.40936,                0.91249,                0.99597,                0.98712,                0.99485,                0.96032,                0.25997,                0.28404,                0.85127,              0.0014101,              0.0014101,              0.0014101
                      6,                0.38974,                0.36854,                0.88844,                0.99391,                0.98939,                0.99489,                0.96712,                0.29614,                0.28555,                0.85198,              0.0014054,              0.0014054,              0.0014054
                      7,                0.35311,                0.34124,                0.87105,                0.99324,                0.99191,                0.99492,                0.97431,                0.21509,                0.23384,                 0.8333,              0.0014007,              0.0014007,              0.0014007
                      8,                 0.3382,                0.31372,                0.86273,                0.99596,                0.99241,                0.99496,                0.97008,                0.22336,                0.23963,                0.83128,               0.001396,               0.001396,               0.001396
                      9,                 0.3241,                0.29701,                0.84937,                0.99701,                0.99263,                0.99499,                0.96797,                0.19715,                0.20686,                0.82591,              0.0013913,              0.0013913,              0.0013913
                     10,                0.31879,                0.29613,                0.84796,                 0.9974,                0.99432,                0.99499,                 0.9668,                0.23035,                0.21463,                0.82782,              0.0013866,              0.0013866,              0.0013866
                     11,                0.30036,                0.27553,                0.83926,                0.99674,                 0.9939,                0.99499,                0.97874,                0.17811,                0.20277,                0.82084,              0.0013818,              0.0013818,              0.0013818
                     12,                0.29074,                0.27127,                 0.8357,                0.99578,                0.99572,                0.99499,                0.98503,                0.18025,                0.19553,                0.81367,              0.0013771,              0.0013771,              0.0013771
                     13,                0.27545,                0.26186,                0.83427,                0.99793,                0.99495,                0.99499,                0.98212,                0.18328,                0.18464,                0.81664,              0.0013724,              0.0013724,              0.0013724
                     14,                0.26837,                0.25432,                0.83141,                0.99775,                0.99533,                0.99499,                0.98449,                0.14903,                0.17465,                0.81003,              0.0013677,              0.0013677,              0.0013677
