                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9886,                 2.3244,                 3.4414,                0.97641,                0.34537,                 0.5569,                0.18306,                 3.4467,                  2.838,                 3.4535,             0.00047171,             0.00047171,             0.00047171
                      2,                 1.1313,                0.87822,                 1.4869,                0.99668,                0.97521,                0.99395,                 0.8454,                0.53097,                0.55252,                 1.0175,             0.00093866,             0.00093866,             0.00093866
                      3,                0.66668,                0.56808,                 1.0409,                0.99135,                0.98159,                0.99411,                0.88475,                0.43289,                0.41109,                0.92705,              0.0013962,              0.0013962,              0.0013962
                      4,                0.52849,                0.49116,                0.95851,                0.99322,                 0.9858,                0.99479,                0.94023,                0.37895,                0.36299,                0.88938,              0.0013866,              0.0013866,              0.0013866
                      5,                0.45169,                0.41976,                0.91343,                0.99531,                0.98687,                0.99488,                0.94017,                0.37396,                0.33677,                0.87005,              0.0013724,              0.0013724,              0.0013724
                      6,                0.41623,                0.38325,                0.89514,                0.99066,                0.99122,                0.99489,                0.95497,                0.32006,                0.31285,                0.86232,              0.0013583,              0.0013583,              0.0013583
                      7,                0.37767,                0.35539,                0.87736,                0.99582,                0.99173,                0.99496,                0.97794,                0.19953,                0.23977,                0.83264,              0.0013441,              0.0013441,              0.0013441
                      8,                0.33646,                 0.3148,                 0.8644,                0.99523,                0.99226,                0.99496,                0.96143,                0.22371,                 0.2369,                0.83786,                0.00133,                0.00133,                0.00133
                      9,                 0.3181,                0.29705,                0.85061,                0.99669,                0.99339,                0.99499,                0.98029,                0.18567,                0.21212,                0.82379,              0.0013158,              0.0013158,              0.0013158
                     10,                0.32684,                0.30568,                0.85048,                 0.9975,                0.99443,                0.99499,                 0.9732,                0.16701,                0.19974,                  0.815,              0.0013017,              0.0013017,              0.0013017
                     11,                0.28157,                 0.2683,                0.83875,                0.99428,                0.99545,                0.99497,                0.97893,                0.18861,                0.20252,                0.81828,              0.0012875,              0.0012875,              0.0012875
                     12,                0.28486,                0.26344,                0.83525,                0.99933,                0.99529,                  0.995,                0.97496,                0.18702,                0.19077,                0.81579,              0.0012734,              0.0012734,              0.0012734
                     13,                0.26764,                0.25573,                0.83385,                0.99716,                 0.9943,                0.99499,                0.97681,                0.14264,                0.16767,                0.80906,              0.0012592,              0.0012592,              0.0012592
                     14,                0.28105,                0.25661,                0.83399,                0.99686,                0.99651,                  0.995,                0.97914,                    inf,                0.16908,                0.81007,              0.0012451,              0.0012451,              0.0012451
